redshift,dist_mod,err_dist_mod
0.0192,34.4915623332,0.19709164794300002
0.0335,35.9738325393,0.170490251613
0.045295,36.640272175599996,0.164981248644
0.380416514286,41.2723405299,0.19855843439399998
0.495,42.1189081538,0.443653473108
0.314,41.2319680355,0.242363893683
0.54,42.5111635186,0.282945441834
0.6709999999999999,42.982007001099994,0.12054552757999999
0.57,42.489110359099996,0.388952633173
0.0931494026855,38.280913725,0.114453830019
0.27945473261,40.5012843665,0.138724732909
0.401,42.5546203602,0.369893982362
1.1299392199625273,38.53659676715756,0.2162180967727667
0.402459619216,41.911146757800005,0.211278493994
0.042233,36.3364595483,0.16717404233799998
1.265,44.944110841000004,0.235469959716
0.24,40.7421915815,0.402844159873
0.3226679393724192,44.10278700486009,0.2244585593238274
0.0546,36.6095585146,0.176655181089
0.369,41.6340230154,0.152644121885
0.0325,35.813091415100004,0.17039473589600002
0.21600000000000003,40.5560465985,0.24409986065499997
0.1299,38.979185469,0.12944495155
0.204979685349,40.0245002346,0.123526942937
0.0800481440021,37.685709335300004,0.10196849214400001
0.0251,34.9482752367,0.179222700336
0.7809999999999999,43.437229551499996,0.321348684213
0.4350957779841218,41.67616474440247,0.2890604899335489
0.7630891852973907,44.23266595380631,0.27290385224331787
0.8540000000000001,43.608464286099995,0.225569905838
0.2115869815,40.5603236924,0.15932473388499999
0.03572,35.9605406407,0.171186987363
0.772,43.5099938279,0.218834770025
0.12228950006304508,42.111088319138375,0.3199118859181563
0.0221,34.9115497582,0.189960682839
0.0890194292939,37.8284529286,0.117432705446
0.7923382470661077,41.55469704568335,0.2559280846104283
0.015,34.1114109643,0.213388869977
0.5920000000000001,44.15235482560001,0.7179634930040001
0.0187,35.0482998472,0.197196789214
0.532,42.5658156596,0.166651053217
0.3578,41.4349095934,0.136096151868
0.631,42.3773831209,0.244974123167
0.192149980044,40.0392178782,0.121087443202
0.5754854988944778,40.15881113367585,0.1765564084534697
0.402459619216,41.911146757800005,0.211278493994
0.905,43.638740006199995,0.25746754741
0.821,43.6409387868,0.194013591972
0.015,34.379772804699996,0.21734853470100002
0.0153,34.7071857289,0.213242896074
